"DATE","TIME PERIOD","NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.US.Z0Z.4F.EC.SS_CIN.IDX)"
"1980-01-02","02 Jan 1980","0.2188"
"1980-01-03","03 Jan 1980","0.2197"
"1980-01-04","04 Jan 1980","0.2343"
"1980-01-07","07 Jan 1980","0.2372"
"1980-01-08","08 Jan 1980","0.2367"
"1980-01-09","09 Jan 1980","0.2273"
"1980-01-10","10 Jan 1980","0.2239"
"1980-01-11","11 Jan 1980","0.2083"
"1980-01-14","14 Jan 1980","0.1923"
"1980-01-15","15 Jan 1980","0.1888"
"1980-01-16","16 Jan 1980","0.1753"
"1980-01-17","17 Jan 1980","0.1566"
"1980-01-18","18 Jan 1980","0.1491"
"1980-01-21","21 Jan 1980","0.1536"
"1980-01-22","22 Jan 1980","0.1439"
"1980-01-23","23 Jan 1980","0.1520"
"1980-01-24","24 Jan 1980","0.1524"
"1980-01-25","25 Jan 1980","0.1386"
"1980-01-28","28 Jan 1980","0.1421"
"1980-01-29","29 Jan 1980","0.1294"
"1980-01-30","30 Jan 1980","0.1304"
"1980-01-31","31 Jan 1980","0.1128"
"1980-02-01","01 Feb 1980","0.1142"
"1980-02-04","04 Feb 1980","0.1100"
"1980-02-05","05 Feb 1980","0.1069"
"1980-02-06","06 Feb 1980","0.1091"
"1980-02-07","07 Feb 1980","0.1000"
"1980-02-08","08 Feb 1980","0.0961"
"1980-02-11","11 Feb 1980","0.0881"
"1980-02-12","12 Feb 1980","0.0950"
"1980-02-13","13 Feb 1980","0.0861"
"1980-02-14","14 Feb 1980","0.0815"
"1980-02-15","15 Feb 1980","0.0841"
"1980-02-18","18 Feb 1980","0.0964"
"1980-02-19","19 Feb 1980","0.0941"
"1980-02-20","20 Feb 1980","0.1231"
"1980-02-21","21 Feb 1980","0.1292"
"1980-02-22","22 Feb 1980","0.1416"
"1980-02-25","25 Feb 1980","0.1591"
"1980-02-26","26 Feb 1980","0.1717"
"1980-02-27","27 Feb 1980","0.1930"
"1980-02-28","28 Feb 1980","0.2077"
"1980-02-29","29 Feb 1980","0.1815"
"1980-03-03","03 Mar 1980","0.1557"
"1980-03-04","04 Mar 1980","0.2149"
"1980-03-05","05 Mar 1980","0.2743"
"1980-03-06","06 Mar 1980","0.3457"
"1980-03-07","07 Mar 1980","0.3886"
"1980-03-10","10 Mar 1980","0.3937"
"1980-03-11","11 Mar 1980","0.3926"
"1980-03-12","12 Mar 1980","0.3951"
"1980-03-13","13 Mar 1980","0.3952"
"1980-03-14","14 Mar 1980","0.3923"
"1980-03-17","17 Mar 1980","0.4309"
"1980-03-18","18 Mar 1980","0.4533"
"1980-03-19","19 Mar 1980","0.4695"
"1980-03-20","20 Mar 1980","0.4816"
"1980-03-21","21 Mar 1980","0.5082"
"1980-03-24","24 Mar 1980","0.5192"
"1980-03-25","25 Mar 1980","0.5291"
"1980-03-26","26 Mar 1980","0.5218"
"1980-03-27","27 Mar 1980","0.5530"
"1980-03-28","28 Mar 1980","0.5424"
"1980-03-31","31 Mar 1980","0.5546"
"1980-04-01","01 Apr 1980","0.5270"
"1980-04-02","02 Apr 1980","0.5520"
"1980-04-03","03 Apr 1980","0.5680"
"1980-04-04","04 Apr 1980","0.5759"
"1980-04-07","07 Apr 1980","0.6074"
"1980-04-08","08 Apr 1980","0.6386"
"1980-04-09","09 Apr 1980","0.7002"
"1980-04-10","10 Apr 1980","0.7069"
"1980-04-11","11 Apr 1980","0.7069"
"1980-04-14","14 Apr 1980","0.7345"
"1980-04-15","15 Apr 1980","0.7480"
"1980-04-16","16 Apr 1980","0.7613"
"1980-04-17","17 Apr 1980","0.7498"
"1980-04-18","18 Apr 1980","0.7285"
"1980-04-21","21 Apr 1980","0.7247"
"1980-04-22","22 Apr 1980","0.7511"
"1980-04-23","23 Apr 1980","0.7792"
"1980-04-24","24 Apr 1980","0.7534"
"1980-04-25","25 Apr 1980","0.7461"
"1980-04-28","28 Apr 1980","0.7421"
"1980-04-29","29 Apr 1980","0.7165"
"1980-04-30","30 Apr 1980","0.6828"
"1980-05-01","01 May 1980","0.6559"
"1980-05-02","02 May 1980","0.6493"
"1980-05-05","05 May 1980","0.6394"
"1980-05-06","06 May 1980","0.6625"
"1980-05-07","07 May 1980","0.6278"
"1980-05-08","08 May 1980","0.6126"
"1980-05-09","09 May 1980","0.6459"
"1980-05-12","12 May 1980","0.6500"
"1980-05-13","13 May 1980","0.6609"
"1980-05-14","14 May 1980","0.6409"
"1980-05-15","15 May 1980","0.5653"
"1980-05-16","16 May 1980","0.5232"
"1980-05-19","19 May 1980","0.5221"
"1980-05-20","20 May 1980","0.5099"
"1980-05-21","21 May 1980","0.5179"
"1980-05-22","22 May 1980","0.4899"
"1980-05-23","23 May 1980","0.4924"
"1980-05-26","26 May 1980","0.4723"
"1980-05-27","27 May 1980","0.4262"
"1980-05-28","28 May 1980","0.4099"
"1980-05-29","29 May 1980","0.4183"
"1980-05-30","30 May 1980","0.4259"
"1980-06-02","02 Jun 1980","0.4347"
"1980-06-03","03 Jun 1980","0.4410"
"1980-06-04","04 Jun 1980","0.4205"
"1980-06-05","05 Jun 1980","0.3998"
"1980-06-06","06 Jun 1980","0.3930"
"1980-06-09","09 Jun 1980","0.3943"
"1980-06-10","10 Jun 1980","0.3534"
"1980-06-11","11 Jun 1980","0.3523"
"1980-06-12","12 Jun 1980","0.3331"
"1980-06-13","13 Jun 1980","0.3056"
"1980-06-16","16 Jun 1980","0.2844"
"1980-06-17","17 Jun 1980","0.2663"
"1980-06-18","18 Jun 1980","0.2431"
"1980-06-19","19 Jun 1980","0.2329"
"1980-06-20","20 Jun 1980","0.2252"
"1980-06-23","23 Jun 1980","0.2022"
"1980-06-24","24 Jun 1980","0.1822"
"1980-06-25","25 Jun 1980","0.1956"
"1980-06-26","26 Jun 1980","0.1761"
"1980-06-27","27 Jun 1980","0.1609"
"1980-06-30","30 Jun 1980","0.1730"
"1980-07-01","01 Jul 1980","0.1660"
"1980-07-02","02 Jul 1980","0.1656"
"1980-07-03","03 Jul 1980","0.1708"
"1980-07-04","04 Jul 1980","0.1648"
"1980-07-07","07 Jul 1980","0.1381"
"1980-07-08","08 Jul 1980","0.1365"
"1980-07-09","09 Jul 1980","0.1254"
"1980-07-10","10 Jul 1980","0.1189"
"1980-07-11","11 Jul 1980","0.1166"
"1980-07-14","14 Jul 1980","0.1195"
"1980-07-15","15 Jul 1980","0.1151"
"1980-07-16","16 Jul 1980","0.1140"
"1980-07-17","17 Jul 1980","0.1261"
"1980-07-18","18 Jul 1980","0.1174"
"1980-07-21","21 Jul 1980","0.1169"
"1980-07-22","22 Jul 1980","0.1148"
"1980-07-23","23 Jul 1980","0.0961"
"1980-07-24","24 Jul 1980","0.0974"
"1980-07-25","25 Jul 1980","0.0853"
"1980-07-28","28 Jul 1980","0.0912"
"1980-07-29","29 Jul 1980","0.1039"
"1980-07-30","30 Jul 1980","0.0923"
"1980-07-31","31 Jul 1980","0.1095"
"1980-08-01","01 Aug 1980","0.1057"
"1980-08-04","04 Aug 1980","0.1181"
"1980-08-05","05 Aug 1980","0.1250"
"1980-08-06","06 Aug 1980","0.1195"
"1980-08-07","07 Aug 1980","0.1089"
"1980-08-08","08 Aug 1980","0.1213"
"1980-08-11","11 Aug 1980","0.1204"
"1980-08-12","12 Aug 1980","0.0971"
"1980-08-13","13 Aug 1980","0.0988"
"1980-08-14","14 Aug 1980","0.1030"
"1980-08-15","15 Aug 1980","0.1146"
"1980-08-18","18 Aug 1980","0.0940"
"1980-08-19","19 Aug 1980","0.0981"
"1980-08-20","20 Aug 1980","0.1046"
"1980-08-21","21 Aug 1980","0.1094"
"1980-08-22","22 Aug 1980","0.1227"
"1980-08-25","25 Aug 1980","0.1232"
"1980-08-26","26 Aug 1980","0.1384"
"1980-08-27","27 Aug 1980","0.1442"
"1980-08-28","28 Aug 1980","0.1312"
"1980-08-29","29 Aug 1980","0.1358"
"1980-09-01","01 Sep 1980","0.1226"
"1980-09-02","02 Sep 1980","0.1453"
"1980-09-03","03 Sep 1980","0.1677"
"1980-09-04","04 Sep 1980","0.1537"
"1980-09-05","05 Sep 1980","0.1619"
"1980-09-08","08 Sep 1980","0.1589"
"1980-09-09","09 Sep 1980","0.1641"
"1980-09-10","10 Sep 1980","0.1681"
"1980-09-11","11 Sep 1980","0.1742"
"1980-09-12","12 Sep 1980","0.1722"
"1980-09-15","15 Sep 1980","0.1560"
"1980-09-16","16 Sep 1980","0.1717"
"1980-09-17","17 Sep 1980","0.1596"
"1980-09-18","18 Sep 1980","0.1595"
"1980-09-19","19 Sep 1980","0.1880"
"1980-09-22","22 Sep 1980","0.1794"
"1980-09-23","23 Sep 1980","0.1771"
"1980-09-24","24 Sep 1980","0.1839"
"1980-09-25","25 Sep 1980","0.1669"
"1980-09-26","26 Sep 1980","0.1833"
"1980-09-29","29 Sep 1980","0.2208"
"1980-09-30","30 Sep 1980","0.2547"
"1980-10-01","01 Oct 1980","0.2620"
"1980-10-02","02 Oct 1980","0.2626"
"1980-10-03","03 Oct 1980","0.3169"
"1980-10-06","06 Oct 1980","0.3173"
"1980-10-07","07 Oct 1980","0.2883"
"1980-10-08","08 Oct 1980","0.2689"
"1980-10-09","09 Oct 1980","0.2859"
"1980-10-10","10 Oct 1980","0.2711"
"1980-10-13","13 Oct 1980","0.2783"
"1980-10-14","14 Oct 1980","0.2799"
"1980-10-15","15 Oct 1980","0.2818"
"1980-10-16","16 Oct 1980","0.2617"
"1980-10-17","17 Oct 1980","0.2367"
"1980-10-20","20 Oct 1980","0.2223"
"1980-10-21","21 Oct 1980","0.1927"
"1980-10-22","22 Oct 1980","0.1794"
"1980-10-23","23 Oct 1980","0.1887"
"1980-10-24","24 Oct 1980","0.2068"
"1980-10-27","27 Oct 1980","0.1635"
"1980-10-28","28 Oct 1980","0.1652"
"1980-10-29","29 Oct 1980","0.1742"
"1980-10-30","30 Oct 1980","0.1749"
"1980-10-31","31 Oct 1980","0.1889"
"1980-11-03","03 Nov 1980","0.1839"
"1980-11-04","04 Nov 1980","0.1880"
"1980-11-05","05 Nov 1980","0.1635"
"1980-11-06","06 Nov 1980","0.1812"
"1980-11-07","07 Nov 1980","0.2001"
"1980-11-10","10 Nov 1980","0.2481"
"1980-11-11","11 Nov 1980","0.2661"
"1980-11-12","12 Nov 1980","0.3274"
"1980-11-13","13 Nov 1980","0.3402"
"1980-11-14","14 Nov 1980","0.3322"
"1980-11-17","17 Nov 1980","0.3217"
"1980-11-18","18 Nov 1980","0.3519"
"1980-11-19","19 Nov 1980","0.3259"
"1980-11-20","20 Nov 1980","0.3103"
"1980-11-21","21 Nov 1980","0.3057"
"1980-11-24","24 Nov 1980","0.2915"
"1980-11-25","25 Nov 1980","0.2858"
"1980-11-26","26 Nov 1980","0.2920"
"1980-11-27","27 Nov 1980","0.2687"
"1980-11-28","28 Nov 1980","0.2480"
"1980-12-01","01 Dec 1980","0.2410"
"1980-12-02","02 Dec 1980","0.2309"
"1980-12-03","03 Dec 1980","0.2302"
"1980-12-04","04 Dec 1980","0.2174"
"1980-12-05","05 Dec 1980","0.2245"
"1980-12-08","08 Dec 1980","0.2644"
"1980-12-09","09 Dec 1980","0.2850"
"1980-12-10","10 Dec 1980","0.3123"
"1980-12-11","11 Dec 1980","0.3486"
"1980-12-12","12 Dec 1980","0.3507"
"1980-12-15","15 Dec 1980","0.3671"
"1980-12-16","16 Dec 1980","0.3839"
"1980-12-17","17 Dec 1980","0.3961"
"1980-12-18","18 Dec 1980","0.4039"
"1980-12-19","19 Dec 1980","0.4500"
"1980-12-22","22 Dec 1980","0.4659"
"1980-12-23","23 Dec 1980","0.4593"
"1980-12-24","24 Dec 1980","0.4448"
"1980-12-25","25 Dec 1980","0.4287"
"1980-12-26","26 Dec 1980","0.4193"
"1980-12-29","29 Dec 1980","0.4139"
"1980-12-30","30 Dec 1980","0.3995"
"1980-12-31","31 Dec 1980","0.4034"
"1981-01-01","01 Jan 1981","0.3903"
"1981-01-02","02 Jan 1981","0.3667"
"1981-01-05","05 Jan 1981","0.4530"
"1981-01-06","06 Jan 1981","0.4533"
"1981-01-07","07 Jan 1981","0.4270"
"1981-01-08","08 Jan 1981","0.4473"
"1981-01-09","09 Jan 1981","0.4354"
"1981-01-12","12 Jan 1981","0.4154"
"1981-01-13","13 Jan 1981","0.4079"
"1981-01-14","14 Jan 1981","0.3782"
"1981-01-15","15 Jan 1981","0.3489"
"1981-01-16","16 Jan 1981","0.3262"
"1981-01-19","19 Jan 1981","0.2846"
"1981-01-20","20 Jan 1981","0.3076"
"1981-01-21","21 Jan 1981","0.2840"
"1981-01-22","22 Jan 1981","0.3125"
"1981-01-23","23 Jan 1981","0.3213"
"1981-01-26","26 Jan 1981","0.3283"
"1981-01-27","27 Jan 1981","0.3263"
"1981-01-28","28 Jan 1981","0.3283"
"1981-01-29","29 Jan 1981","0.3092"
"1981-01-30","30 Jan 1981","0.3266"
"1981-02-02","02 Feb 1981","0.3377"
"1981-02-03","03 Feb 1981","0.3486"
"1981-02-04","04 Feb 1981","0.3603"
"1981-02-05","05 Feb 1981","0.3486"
"1981-02-06","06 Feb 1981","0.3174"
"1981-02-09","09 Feb 1981","0.2921"
"1981-02-10","10 Feb 1981","0.2855"
"1981-02-11","11 Feb 1981","0.2668"
"1981-02-12","12 Feb 1981","0.2707"
"1981-02-13","13 Feb 1981","0.2735"
"1981-02-16","16 Feb 1981","0.2651"
"1981-02-17","17 Feb 1981","0.2890"
"1981-02-18","18 Feb 1981","0.2786"
"1981-02-19","19 Feb 1981","0.3036"
"1981-02-20","20 Feb 1981","0.2948"
"1981-02-23","23 Feb 1981","0.2477"
"1981-02-24","24 Feb 1981","0.2533"
"1981-02-25","25 Feb 1981","0.2423"
"1981-02-26","26 Feb 1981","0.2238"
"1981-02-27","27 Feb 1981","0.2302"
"1981-03-02","02 Mar 1981","0.2202"
"1981-03-03","03 Mar 1981","0.2622"
"1981-03-04","04 Mar 1981","0.2508"
"1981-03-05","05 Mar 1981","0.2542"
"1981-03-06","06 Mar 1981","0.2665"
"1981-03-09","09 Mar 1981","0.2775"
"1981-03-10","10 Mar 1981","0.2842"
"1981-03-11","11 Mar 1981","0.2623"
"1981-03-12","12 Mar 1981","0.2490"
"1981-03-13","13 Mar 1981","0.2536"
"1981-03-16","16 Mar 1981","0.2511"
"1981-03-17","17 Mar 1981","0.2494"
"1981-03-18","18 Mar 1981","0.2439"
"1981-03-19","19 Mar 1981","0.2219"
"1981-03-20","20 Mar 1981","0.2200"
"1981-03-23","23 Mar 1981","0.2185"
"1981-03-24","24 Mar 1981","0.2015"
"1981-03-25","25 Mar 1981","0.1949"
"1981-03-26","26 Mar 1981","0.1752"
"1981-03-27","27 Mar 1981","0.1719"
"1981-03-30","30 Mar 1981","0.1788"
"1981-03-31","31 Mar 1981","0.1893"
"1981-04-01","01 Apr 1981","0.1768"
"1981-04-02","02 Apr 1981","0.1581"
"1981-04-03","03 Apr 1981","0.1486"
"1981-04-06","06 Apr 1981","0.1242"
"1981-04-07","07 Apr 1981","0.1477"
"1981-04-08","08 Apr 1981","0.1319"
"1981-04-09","09 Apr 1981","0.1395"
"1981-04-10","10 Apr 1981","0.1333"
"1981-04-13","13 Apr 1981","0.1391"
"1981-04-14","14 Apr 1981","0.1408"
"1981-04-15","15 Apr 1981","0.1365"
"1981-04-16","16 Apr 1981","0.1469"
"1981-04-17","17 Apr 1981","0.1449"
"1981-04-20","20 Apr 1981","0.1446"
"1981-04-21","21 Apr 1981","0.1280"
"1981-04-22","22 Apr 1981","0.1277"
"1981-04-23","23 Apr 1981","0.1156"
"1981-04-24","24 Apr 1981","0.1003"
"1981-04-27","27 Apr 1981","0.0862"
"1981-04-28","28 Apr 1981","0.0838"
"1981-04-29","29 Apr 1981","0.0888"
"1981-04-30","30 Apr 1981","0.0817"
"1981-05-01","01 May 1981","0.0963"
"1981-05-04","04 May 1981","0.1033"
"1981-05-05","05 May 1981","0.1602"
"1981-05-06","06 May 1981","0.1651"
"1981-05-07","07 May 1981","0.1683"
"1981-05-08","08 May 1981","0.1577"
"1981-05-11","11 May 1981","0.1605"
"1981-05-12","12 May 1981","0.1680"
"1981-05-13","13 May 1981","0.1734"
"1981-05-14","14 May 1981","0.1743"
"1981-05-15","15 May 1981","0.1703"
"1981-05-18","18 May 1981","0.1652"
"1981-05-19","19 May 1981","0.1594"
"1981-05-20","20 May 1981","0.1668"
"1981-05-21","21 May 1981","0.1751"
"1981-05-22","22 May 1981","0.2027"
"1981-05-25","25 May 1981","0.2133"
"1981-05-26","26 May 1981","0.2034"
"1981-05-27","27 May 1981","0.1758"
"1981-05-28","28 May 1981","0.1903"
"1981-05-29","29 May 1981","0.1884"
"1981-06-01","01 Jun 1981","0.1634"
"1981-06-02","02 Jun 1981","0.1878"
"1981-06-03","03 Jun 1981","0.1962"
"1981-06-04","04 Jun 1981","0.2163"
"1981-06-05","05 Jun 1981","0.2030"
"1981-06-08","08 Jun 1981","0.2262"
"1981-06-09","09 Jun 1981","0.2351"
"1981-06-10","10 Jun 1981","0.2405"
"1981-06-11","11 Jun 1981","0.2212"
"1981-06-12","12 Jun 1981","0.2313"
"1981-06-15","15 Jun 1981","0.2794"
"1981-06-16","16 Jun 1981","0.2746"
"1981-06-17","17 Jun 1981","0.2634"
"1981-06-18","18 Jun 1981","0.2560"
"1981-06-19","19 Jun 1981","0.2845"
"1981-06-22","22 Jun 1981","0.2790"
"1981-06-23","23 Jun 1981","0.2593"
"1981-06-24","24 Jun 1981","0.2454"
"1981-06-25","25 Jun 1981","0.2576"
"1981-06-26","26 Jun 1981","0.2512"
"1981-06-29","29 Jun 1981","0.2423"
"1981-06-30","30 Jun 1981","0.2395"
"1981-07-01","01 Jul 1981","0.2304"
"1981-07-02","02 Jul 1981","0.2398"
"1981-07-03","03 Jul 1981","0.2449"
"1981-07-06","06 Jul 1981","0.2786"
"1981-07-07","07 Jul 1981","0.2724"
"1981-07-08","08 Jul 1981","0.2658"
"1981-07-09","09 Jul 1981","0.2531"
"1981-07-10","10 Jul 1981","0.2594"
"1981-07-13","13 Jul 1981","0.2574"
"1981-07-14","14 Jul 1981","0.2635"
"1981-07-15","15 Jul 1981","0.2751"
"1981-07-16","16 Jul 1981","0.2799"
"1981-07-17","17 Jul 1981","0.2793"
"1981-07-20","20 Jul 1981","0.2388"
"1981-07-21","21 Jul 1981","0.2412"
"1981-07-22","22 Jul 1981","0.2564"
"1981-07-23","23 Jul 1981","0.2612"
"1981-07-24","24 Jul 1981","0.2687"
"1981-07-27","27 Jul 1981","0.2758"
"1981-07-28","28 Jul 1981","0.2896"
"1981-07-29","29 Jul 1981","0.2982"
"1981-07-30","30 Jul 1981","0.2936"
"1981-07-31","31 Jul 1981","0.2825"
"1981-08-03","03 Aug 1981","0.3324"
"1981-08-04","04 Aug 1981","0.3523"
"1981-08-05","05 Aug 1981","0.3463"
"1981-08-06","06 Aug 1981","0.3587"
"1981-08-07","07 Aug 1981","0.3597"
"1981-08-10","10 Aug 1981","0.3657"
"1981-08-11","11 Aug 1981","0.3344"
"1981-08-12","12 Aug 1981","0.3595"
"1981-08-13","13 Aug 1981","0.3727"
"1981-08-14","14 Aug 1981","0.3905"
"1981-08-17","17 Aug 1981","0.3809"
"1981-08-18","18 Aug 1981","0.3869"
"1981-08-19","19 Aug 1981","0.3953"
"1981-08-20","20 Aug 1981","0.4096"
"1981-08-21","21 Aug 1981","0.4061"
"1981-08-24","24 Aug 1981","0.4143"
"1981-08-25","25 Aug 1981","0.4671"
"1981-08-26","26 Aug 1981","0.4770"
"1981-08-27","27 Aug 1981","0.4852"
"1981-08-28","28 Aug 1981","0.4831"
"1981-08-31","31 Aug 1981","0.4842"
"1981-09-01","01 Sep 1981","0.4778"
"1981-09-02","02 Sep 1981","0.4658"
"1981-09-03","03 Sep 1981","0.4838"
"1981-09-04","04 Sep 1981","0.4699"
"1981-09-07","07 Sep 1981","0.4432"
"1981-09-08","08 Sep 1981","0.4694"
"1981-09-09","09 Sep 1981","0.4678"
"1981-09-10","10 Sep 1981","0.5247"
"1981-09-11","11 Sep 1981","0.5061"
"1981-09-14","14 Sep 1981","0.5111"
"1981-09-15","15 Sep 1981","0.5563"
"1981-09-16","16 Sep 1981","0.5454"
"1981-09-17","17 Sep 1981","0.5504"
"1981-09-18","18 Sep 1981","0.5405"
"1981-09-21","21 Sep 1981","0.5475"
"1981-09-22","22 Sep 1981","0.5256"
"1981-09-23","23 Sep 1981","0.5189"
"1981-09-24","24 Sep 1981","0.5076"
"1981-09-25","25 Sep 1981","0.5320"
"1981-09-28","28 Sep 1981","0.5847"
"1981-09-29","29 Sep 1981","0.5749"
"1981-09-30","30 Sep 1981","0.5690"
"1981-10-01","01 Oct 1981","0.5438"
"1981-10-02","02 Oct 1981","0.5083"
"1981-10-05","05 Oct 1981","0.5393"
"1981-10-06","06 Oct 1981","0.5293"
"1981-10-07","07 Oct 1981","0.5256"
"1981-10-08","08 Oct 1981","0.5258"
"1981-10-09","09 Oct 1981","0.5477"
"1981-10-12","12 Oct 1981","0.5405"
"1981-10-13","13 Oct 1981","0.5155"
"1981-10-14","14 Oct 1981","0.5544"
"1981-10-15","15 Oct 1981","0.5327"
"1981-10-16","16 Oct 1981","0.5016"
"1981-10-19","19 Oct 1981","0.4801"
"1981-10-20","20 Oct 1981","0.4553"
"1981-10-21","21 Oct 1981","0.4408"
"1981-10-22","22 Oct 1981","0.4073"
"1981-10-23","23 Oct 1981","0.3918"
"1981-10-26","26 Oct 1981","0.4067"
"1981-10-27","27 Oct 1981","0.3873"
"1981-10-28","28 Oct 1981","0.3665"
"1981-10-29","29 Oct 1981","0.3560"
"1981-10-30","30 Oct 1981","0.3800"
"1981-11-02","02 Nov 1981","0.4171"
"1981-11-03","03 Nov 1981","0.4277"
"1981-11-04","04 Nov 1981","0.4428"
"1981-11-05","05 Nov 1981","0.4469"
"1981-11-06","06 Nov 1981","0.4365"
"1981-11-09","09 Nov 1981","0.4621"
"1981-11-10","10 Nov 1981","0.4702"
"1981-11-11","11 Nov 1981","0.4536"
"1981-11-12","12 Nov 1981","0.4331"
"1981-11-13","13 Nov 1981","0.4224"
"1981-11-16","16 Nov 1981","0.4159"
"1981-11-17","17 Nov 1981","0.4058"
"1981-11-18","18 Nov 1981","0.4273"
"1981-11-19","19 Nov 1981","0.4278"
"1981-11-20","20 Nov 1981","0.4314"
"1981-11-23","23 Nov 1981","0.3886"
"1981-11-24","24 Nov 1981","0.4231"
"1981-11-25","25 Nov 1981","0.4036"
"1981-11-26","26 Nov 1981","0.3819"
"1981-11-27","27 Nov 1981","0.3612"
"1981-11-30","30 Nov 1981","0.3409"
"1981-12-01","01 Dec 1981","0.3413"
"1981-12-02","02 Dec 1981","0.3244"
"1981-12-03","03 Dec 1981","0.3340"
"1981-12-04","04 Dec 1981","0.3361"
"1981-12-07","07 Dec 1981","0.3182"
"1981-12-08","08 Dec 1981","0.3135"
"1981-12-09","09 Dec 1981","0.2906"
"1981-12-10","10 Dec 1981","0.2843"
"1981-12-11","11 Dec 1981","0.2888"
"1981-12-14","14 Dec 1981","0.3205"
"1981-12-15","15 Dec 1981","0.3748"
"1981-12-16","16 Dec 1981","0.3860"
"1981-12-17","17 Dec 1981","0.3815"
"1981-12-18","18 Dec 1981","0.3929"
"1981-12-21","21 Dec 1981","0.3906"
"1981-12-22","22 Dec 1981","0.3907"
"1981-12-23","23 Dec 1981","0.3777"
"1981-12-24","24 Dec 1981","0.3774"
"1981-12-25","25 Dec 1981","0.3603"
"1981-12-28","28 Dec 1981","0.3450"
"1981-12-29","29 Dec 1981","0.3313"
"1981-12-30","30 Dec 1981","0.3400"
"1981-12-31","31 Dec 1981","0.3453"
"1982-01-01","01 Jan 1982","0.3397"
"1982-01-04","04 Jan 1982","0.2973"
"1982-01-05","05 Jan 1982","0.2463"
"1982-01-06","06 Jan 1982","0.2433"
"1982-01-07","07 Jan 1982","0.2481"
"1982-01-08","08 Jan 1982","0.2547"
"1982-01-11","11 Jan 1982","0.2557"
"1982-01-12","12 Jan 1982","0.3002"
"1982-01-13","13 Jan 1982","0.3062"
"1982-01-14","14 Jan 1982","0.3269"
"1982-01-15","15 Jan 1982","0.3172"
"1982-01-18","18 Jan 1982","0.3345"
"1982-01-19","19 Jan 1982","0.3065"
"1982-01-20","20 Jan 1982","0.3149"
"1982-01-21","21 Jan 1982","0.3024"
"1982-01-22","22 Jan 1982","0.2583"
"1982-01-25","25 Jan 1982","0.2979"
"1982-01-26","26 Jan 1982","0.3089"
"1982-01-27","27 Jan 1982","0.2963"
"1982-01-28","28 Jan 1982","0.3247"
"1982-01-29","29 Jan 1982","0.3304"
"1982-02-01","01 Feb 1982","0.3534"
"1982-02-02","02 Feb 1982","0.3965"
"1982-02-03","03 Feb 1982","0.3986"
"1982-02-04","04 Feb 1982","0.3997"
"1982-02-05","05 Feb 1982","0.4059"
"1982-02-08","08 Feb 1982","0.4071"
"1982-02-09","09 Feb 1982","0.4291"
"1982-02-10","10 Feb 1982","0.4402"
"1982-02-11","11 Feb 1982","0.4460"
"1982-02-12","12 Feb 1982","0.4333"
"1982-02-15","15 Feb 1982","0.4111"
"1982-02-16","16 Feb 1982","0.4420"
"1982-02-17","17 Feb 1982","0.4333"
"1982-02-18","18 Feb 1982","0.4627"
"1982-02-19","19 Feb 1982","0.4464"
"1982-02-22","22 Feb 1982","0.5082"
"1982-02-23","23 Feb 1982","0.5290"
"1982-02-24","24 Feb 1982","0.5396"
"1982-02-25","25 Feb 1982","0.5267"
"1982-02-26","26 Feb 1982","0.5332"
"1982-03-01","01 Mar 1982","0.5457"
"1982-03-02","02 Mar 1982","0.5359"
"1982-03-03","03 Mar 1982","0.5419"
"1982-03-04","04 Mar 1982","0.5520"
"1982-03-05","05 Mar 1982","0.5626"
"1982-03-08","08 Mar 1982","0.5567"
"1982-03-09","09 Mar 1982","0.5714"
"1982-03-10","10 Mar 1982","0.5612"
"1982-03-11","11 Mar 1982","0.5422"
"1982-03-12","12 Mar 1982","0.5301"
"1982-03-15","15 Mar 1982","0.5362"
"1982-03-16","16 Mar 1982","0.5294"
"1982-03-17","17 Mar 1982","0.4936"
"1982-03-18","18 Mar 1982","0.4554"
"1982-03-19","19 Mar 1982","0.4512"
"1982-03-22","22 Mar 1982","0.4947"
"1982-03-23","23 Mar 1982","0.4688"
"1982-03-24","24 Mar 1982","0.4656"
"1982-03-25","25 Mar 1982","0.4641"
"1982-03-26","26 Mar 1982","0.4485"
"1982-03-29","29 Mar 1982","0.4469"
"1982-03-30","30 Mar 1982","0.4439"
"1982-03-31","31 Mar 1982","0.4452"
"1982-04-01","01 Apr 1982","0.4349"
"1982-04-02","02 Apr 1982","0.4151"
"1982-04-05","05 Apr 1982","0.4088"
"1982-04-06","06 Apr 1982","0.3772"
"1982-04-07","07 Apr 1982","0.3579"
"1982-04-08","08 Apr 1982","0.3794"
"1982-04-09","09 Apr 1982","0.3541"
"1982-04-12","12 Apr 1982","0.3425"
"1982-04-13","13 Apr 1982","0.3536"
"1982-04-14","14 Apr 1982","0.3649"
"1982-04-15","15 Apr 1982","0.3746"
"1982-04-16","16 Apr 1982","0.3755"
"1982-04-19","19 Apr 1982","0.3891"
"1982-04-20","20 Apr 1982","0.3898"
"1982-04-21","21 Apr 1982","0.3844"
"1982-04-22","22 Apr 1982","0.3505"
"1982-04-23","23 Apr 1982","0.3293"
"1982-04-26","26 Apr 1982","0.2957"
"1982-04-27","27 Apr 1982","0.2960"
"1982-04-28","28 Apr 1982","0.2935"
"1982-04-29","29 Apr 1982","0.2978"
"1982-04-30","30 Apr 1982","0.2901"
"1982-05-03","03 May 1982","0.2769"
